References	Qty	Description	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
C1	1	C 1uF/25V 0805	AVX	08053D105KAT2A	478-1409-1-ND	58108053D105K	6983409	02H0107	1327695RL
C8, C6, C7, C3	4	C 100nF 0805	Murata	GRM21BR71H104KA01L	490-1666-1-ND	81GRM40X104K50L	6698842	38K1694	3019949
C9, C5, C4, C2	4	C 10uF/10V 0805	AVX	0805ZD106KAT2A	478-5167-1-ND	5810805ZD106K	8029850	70K9138	2281023
CON1	1	USB OTG Micro Micro-B Molex-105017-0001	Molex	105017-0001	WM1399CT-ND	5381050170001	8486764	78R1699	2293836
CON2	1	Conn 01x05 PROG Pin Header Straight 1x05 Pitch2.54mm	TE Connectivity / AMP	826926-6	A106757-ND	5718269266		13M4165	1248144
CON3	1	Jack-DC BARREL JACK	Switchcraft	RAPC722X	SC1313-ND	502RAPC722X		65K7786	1608727
CON4	1	Conn 01x04 HTU21D module		ZL201-05G					
CON5	1	Conn 01x08 Molex PicoBlade 53048-0810	Molex	53048-0810		538530480810	2799308	98K9836	9733094
D1, D3, D5, D9, D7, D2, D4, D6, D10, D8	10	ASMB-MTB0-0A3A2	Broadcom	ASMB-MTB0-0A3A2	516-3279-2-ND	630ASMBMTB00A3A2	8305044	58Y4525	2401105RL
Q3, Q2, Q1	3	BSS214N	Infineon	BSS214NWH6327XTSA1	BSS214NWH6327XTSA1DKR-ND	726BSS214NWH6327	8270030	12AC9452	2709852RL
Q4, Q5, Q6	3	^							
R8, R14, R20, R26, R32, R9, R15, R21, R27, R33	10	180ohm 1206	Bourns	CR1206-JW-181ELF	CR1206-JW-181ELFCT-ND	652CR1206JW181ELF			
R10, R12, R16, R18, R22, R24, R28, R30, R34, R36, R11, R13, R17, R19, R23, R25, R29, R31, R35, R37	20	130ohm 1206	Bourns	CR1206-FX-1300ELF	CR1206-FX-1300ELF-ND	652CR1206FX1300ELF			
R40, R38, R41, R39, R3, R6, R2, R1, R4, R5, R7	11	10k 1206	Vishay	CRCW120610K0FKEA	541-10.0KFCT-ND	71CRCW120610KE3	6791765	53K1907	1469970RL
SW1	1	SMD TACT	TE Connectivity	4-1437565-2	450-1759-6-ND	506FSM4JSMATR	7182455	54M3408	2410652
SW2	1	SMD TACT	TE Connectivity	4-1437565-2	450-1759-6-ND	506FSM4JSMATR	7182455	54M3408	2410652
TP1	1	TEST 1P ESP PD TP 1.0 0.5 THT							
TP2, TP14	2	TEST 1P GND TP 1.7 1.0 THT							
TP4	1	TEST 1P CFG TP 1.7 1.0 THT							
TP5	1	TEST 1P RESET TP 1.7 1.0 THT							
TP8	1	TEST 1P +5V TP 1.0 0.5 THT							
TP9	1	TEST 1P +12V TP 1.0 0.5 THT							
TP10, TP11, TP12, TP3, TP6, TP7	6	TEST 1P - TP 1.0 0.5 THT							
TP13	1	TEST 1P +3V3 TP 1.0 0.5 THT							
U1	1	LM7805	STMicroelectronics	L7805CV	497-1443-5-ND	511L7805CV	9181971	26M0575	9756078
U2	1	TLV1117LV33DCY SOT-223-3	Texas Instruments	TLV1117LV33DCY					
U3	1	ESP8266	Seeed Studio	317060015					
U4	1	HTU21D	TE Connectivity	HTU21D		824HTU21D		37X5938	2393536
U5	1	PMS7003 THT		DS1065-03-2X5S8BV					
